xServ,sbytes,dbytes,rate,sload,dload,sinpkt,sjit,djit,stcpb,dtcpb,dmean,response_body_len,attack_cat
999,744,0,166666.6608,495999968,0,0.006,0,0,0,0,0,0,8
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,726,268,39.270306,13697.48242,4691.492676,38.885,2038.271273,80.908102,2871710305,3368308584,45,0,8
999,180,0,250000.0006,180000000,0,0.004,0,0,0,0,0,0,2
999,180,0,125000.0003,90000000,0,0.008,0,0,0,0,0,0,7
999,200,0,100000.0025,80000000,0,0.01,0,0,0,0,0,0,2
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,4
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,2
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,6
999,400,0,2.405949,1924.759521,0,415.636344,587.788625,0,0,0,0,0,5
999,1018,268,74.098589,36239.14844,8852.311523,21.381556,1169.593219,53.100871,337509398,1069290869,45,0,8
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,7
999,200,0,142857.1409,114285712,0,0.007,0,0,0,0,0,0,3
999,200,0,500000.0013,400000000,0,0.002,0,0,0,0,0,0,3
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
5,126046,2352,121.485207,837299.5,15302.10938,10.752802,1045.529978,50.025969,2346945401,2116582502,69,0,5
999,132,164,3058.103916,538226.3125,668705.375,0.003,0,0,0,0,82,0,0
999,168,0,125000.0003,84000000,0,0.008,0,0,0,0,0,0,7
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,7
2,908,1178,78.592364,30253.4375,38131.16406,24.034,1312.580206,52.963453,3574158949,920091601,147,189,4
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,3
999,180,0,0.09511,34.239452,0,10514.187,14869.294,0,0,0,0,0,0
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,2
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,7
999,200,0,100000.0025,80000000,0,0.01,0,0,0,0,0,0,3
6,954,2280,41.347637,7692.780762,18371.07227,49.643264,2334.938678,54.93409,2459576999,3633180786,114,0,5
999,1074,836,8.710776,3268.615234,2498.748535,213.787369,14109.1452,415.061438,1819753230,2549901886,84,0,1
999,104,0,111111.1072,46222220,0,0.009,0,0,0,0,0,0,5
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,564,354,16.467682,3936.744629,2402.344238,112.392778,6928.841805,192.465609,452625104,2363424753,44,0,7
999,3678,354,21.858728,31034.79297,2853.139404,76.327003,0,210.732375,246117039,2179752500,44,0,1
999,168,0,125000.0003,84000000,0,0.008,0,0,0,0,0,0,7
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
2,566,354,18.733732,4496.095703,2732.920898,100.715,5476.442738,208.732141,3830141746,1492836078,44,0,1
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,3
7,114,0,250000.0006,114000000,0,0.004,0,0,0,0,0,0,6
999,146,178,3243.243242,631351.375,769729.75,0.002,0,0,0,0,89,0,0
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,2
999,136,0,333333.3215,181333328,0,0.003,0,0,0,0,0,0,8
6,1824,174110,83.610728,6363.357422,618572.75,57.347565,2882.774478,1479.769113,3322237774,1146330895,1176,0,5
5,3034,1648,49.389844,29208.39453,15865.53809,41.55979,2011.23269,49.432328,1197778614,3955252704,82,0,4
999,168,0,1000000.003,672000000,0,0.001,0,0,0,0,0,0,7
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,3
7,114,0,250000.0006,114000000,0,0.004,0,0,0,0,0,0,6
999,1588,268,23.106713,17622.7207,2760.481934,55.828667,3030.853386,155.047578,1484810700,2286982940,45,0,1
999,1012,268,71.061082,34526.21094,8489.430664,21.121556,1082.934591,63.366922,1332344218,345560974,45,0,8
2,1270,268,79.794023,48642.4375,9532.725586,18.848111,1009.180344,60.819137,699583378,595779628,45,0,7
999,26346,850,86.985268,393838.375,12324.8457,17.838931,1885.51092,76.873164,1396567206,2378845454,53,0,1
7,114,0,250000.0006,114000000,0,0.004,0,0,0,0,0,0,6
999,3880,2456,4961.020598,4155917.75,2630758.25,0.395,20.163501,0.493549,578190306,2726884439,136,0,0
999,1844,268,16.113248,14265.5957,1924.996094,88.344778,4785.059484,241.559969,183220784,2880800026,45,0,1
999,690,0,83333.33039,229999984,0,0.012,0,0,0,0,0,0,8
999,610,268,28.181927,8251.667969,3366.800781,55.043889,3015.428754,122.100727,4280994070,2643936677,45,0,8
999,148,0,71428.57045,42285712,0,0.014,0,0,0,0,0,0,8
999,200,0,142857.1409,114285712,0,0.007,0,0,0,0,0,0,3
999,7814,15690,162.309505,40741.65625,81830.27344,12.573603,862.321069,852.250038,1880902173,1884324087,125,0,0
2,3010,474465,244.355049,13497.05664,2156138.75,28.781017,1479.507869,623.13258,488972002,2038348541,1289,229585,5
999,156,0,111111.1072,69333328,0,0.009,0,0,0,0,0,0,3
999,776,0,333333.3215,1034666624,0,0.003,0,0,0,0,0,0,4
999,194,0,90909.0902,70545456,0,0.011,0,0,0,0,0,0,8
999,1038,0,100000.0025,415200000,0,0.01,0,0,0,0,0,0,1
5,1024208,6708,171.186141,1514450.625,9858.84082,6.874488,1127.962468,61.357539,883384953,3273828100,49,0,5
999,166,0,125000.0003,83000000,0,0.008,0,0,0,0,0,0,8
999,168,0,166666.6608,112000000,0,0.006,0,0,0,0,0,0,7
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,4
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,1
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,2
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,4
999,888,354,29.049799,10936.39453,4237.853027,65.022444,3714.907186,138.187734,106197996,3701695404,44,0,8
999,1018,268,47.267317,23116.86914,5646.868652,32.989222,1777.208388,72.895781,1050143954,3794220961,45,0,8
999,1920,4312,5398.272459,1759117,3966410.75,0.380333,27.083435,23.793048,903613613,3049346718,180,0,0
999,8928,320,65.368922,228199.4688,7348.843262,22.358308,1903.457546,78.531508,1095120684,1954894722,53,0,0
999,168,0,142857.1409,96000000,0,0.007,0,0,0,0,0,0,7
999,2588,268,42.291881,52554.71094,5052.470215,34.239111,1766.96384,79.159305,2385653738,1601886425,45,0,5
7,116,0,125000.0003,58000000,0,0.008,0,0,0,0,0,0,7
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,146,178,2793.296014,543761.625,662942.25,0.006,0,0,0,0,89,0,0
999,486,0,90909.0902,176727264,0,0.011,0,0,0,0,0,0,8
2,1554,1180,25.245812,16620.6543,12272.43457,74.819889,3654.291465,111.062258,3705278476,1315621791,148,154,5
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,3
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,7
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,2
999,518,354,35.101558,7714.083496,5120.697754,51.159778,3416.369448,110.572922,1545287487,3239464281,44,0,8
999,180,0,500000.0013,360000000,0,0.002,0,0,0,0,0,0,1
999,668,354,18.735446,5307.641602,2733.170898,96.814444,5522.021038,167.241187,1348500819,13436120,44,0,8
999,104,0,333333.3215,138666656,0,0.003,0,0,0,0,0,0,1
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,1
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,1
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,1
999,146,178,3293.084486,641053.75,781558.6875,0.001,0,0,0,0,89,0,0
2,1236,268,71.791288,42615.30859,8576.666016,23.215444,1109.582461,60.607492,2727465215,2386328689,45,0,5
7,114,0,250000.0006,114000000,0,0.004,0,0,0,0,0,0,6
3,364,4382,29.081303,4365.616699,53974.89844,83.509717,5650.904271,5193.816744,3076326256,3555944110,438,0,5
7,114,0,250000.0006,114000000,0,0.004,0,0,0,0,0,0,6
999,892,268,78.765379,33732.58594,9409.836914,19.617889,1055.218033,62.358531,3107969305,4106095080,45,0,8
999,628,268,75.762166,22870.07227,9051.053711,19.585,1026.457226,61.365434,3976774847,3644223443,45,0,8
999,534,268,17.437643,4473.336914,2083.217041,95.474667,4650.146095,225.094078,2537299422,4130059309,45,0,0
7,114,0,250000.0006,114000000,0,0.004,0,0,0,0,0,0,6
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,2
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,3
999,486,0,250000.0006,486000000,0,0.004,0,0,0,0,0,0,8
999,416,0,333333.3215,554666624,0,0.003,0,0,0,0,0,0,8
999,764,354,9.148461,2961.948975,1334.599121,201.374,13724.70675,362.711719,4086482081,3842471159,44,0,8
999,200,0,100000.0025,80000000,0,0.01,0,0,0,0,0,0,2
2,752,3572,81.885257,23341.60742,110846.7813,25.781333,1237.728009,1770.602527,3146883239,3517705033,357,1344,4
999,200,0,166666.6608,133333328,0,0.006,0,0,0,0,0,0,4
5,3792,1826,19.780888,14619.59766,7039.967285,103.768423,5556.915016,137.632891,1994472155,3282510217,91,0,5
999,900,0,1.323555,476.47995,0,755.540687,1095.4585,0,0,0,0,0,0
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,146,178,2012.072509,391683.4375,477531.875,0.011,0,0,0,0,89,0,0
999,22460,964703,337.768143,52369.25781,2252011.25,8.576864,3967.463271,2881.968713,1249199827,3398039678,1274,0,0
999,1074,812,16.502013,6192.183594,4595.41748,109.147,6865.679944,194.883078,2109076652,4176220646,81,0,1
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,7
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,3
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,4
7,114,0,200000.0051,91200000,0,0.005,0,0,0,0,0,0,6
999,424,8824,60.451029,9443.086914,205889.8438,44.858429,2668.486329,2122.904565,1095119902,1646507021,735,0,0
999,2858,0,36.426047,46282.50781,0,27.452883,32.106723,0,0,0,0,0,5
999,222,0,100000.0025,88800000,0,0.01,0,0,0,0,0,0,8
2,758,354,38.674071,12430.30176,5641.864746,47.686,3223.687744,116.565641,352173904,3388119881,44,0,1
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,3
5,41302,2104,88.383873,402751.625,20086.79102,17.091787,1234.990701,43.185934,1553329816,3565121951,88,0,5
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,3
2,938,1710,9.406187,3346.622314,6095.209473,224.422778,13494.90827,333.874437,2926805301,1223777352,171,402,4
999,564,354,21.464647,5131.312988,3131.313232,87.898667,6019.49442,158.741547,63142629,238212488,44,0,7
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,1
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,3
999,830,1286,37.13339,13053.47852,19676.32813,50.758,2504.534718,67.049602,3908129610,1512110478,161,0,2
999,564,354,14.353429,3431.313721,2093.911865,128.361556,7490.324479,258.940969,2968147749,2503363655,44,0,7
999,582,268,32.290216,9024.039062,3857.604492,48.635,2529.111458,117.485938,497851654,4248558511,45,0,8
999,564,354,26.683368,6378.894531,3892.632324,70.534333,5455.992161,135.689641,447243985,3957469832,44,0,7
999,630,0,100000.0025,252000000,0,0.01,0,0,0,0,0,0,8
999,546,354,14.388648,3331.395264,2099.049805,127.753889,7356.034547,240.670063,1351683851,725143571,44,0,1
999,570,354,21.050155,5081.754883,3070.846191,89.631778,5179.04339,228.540734,3982692859,2586091855,44,0,8
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,4
999,168,0,100000.0025,67200000,0,0.01,0,0,0,0,0,0,7
999,450,0,0.387003,139.320969,0,2583.96125,5897.124,0,0,0,0,0,0
999,200,0,1000000.003,800000000,0,0.001,0,0,0,0,0,0,3
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,4
999,564,354,4.171151,997.150391,608.497253,452.846,31220.28238,936.183188,1364313832,711326774,44,0,7
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,7
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,3
999,200,0,142857.1409,114285712,0,0.007,0,0,0,0,0,0,3
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,7
999,148,0,500000.0013,296000000,0,0.002,0,0,0,0,0,0,8
999,944,0,200000.0051,755200000,0,0.005,0,0,0,0,0,0,8
999,900,0,1.223253,440.371246,0,817.492125,1294.16175,0,0,0,0,0,0
999,200,0,62500.00016,50000000,0,0.016,0,0,0,0,0,0,2
999,1612,268,53.136467,41120.53906,6348.036621,29.097222,1705.18451,56.357578,722458409,1847378108,45,0,1
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,7
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,1
999,540,0,1.15881,417.17157,0,862.95425,1377.74275,0,0,0,0,0,0
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,7
999,564,354,27.281451,6521.871582,3979.882324,68.813778,5427.24169,139.060422,1103477711,844137956,44,0,7
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,2
2,800,268,27.145733,10423.96191,3243.010254,52.455333,2798.657255,133.880016,4086348002,3380590228,45,0,7
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
3,574,682,37.776135,6924.529785,8225.342773,55.350001,2914.412189,67.849484,3786838283,2222569223,57,0,1
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,1
7,114,0,125000.0003,57000000,0,0.008,0,0,0,0,0,0,6
999,200,0,100000.0025,80000000,0,0.01,0,0,0,0,0,0,3
2,944,268,79.944147,36241.34766,9550.661133,18.934333,1010.831354,60.327422,2179405017,3792476962,45,0,5
2,806,354,11.13863,3805.480225,1624.929565,169.567333,9885.827561,311.644781,3825217783,2126286376,44,0,7
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,168,0,500000.0013,336000000,0,0.002,0,0,0,0,0,0,7
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,4
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,4
999,17762,900,26.292473,108070.0313,5258.494629,2815.114546,409488.3575,16778.784,400202944,216341483,75,0,1
2,788,268,23.386124,8855.545898,2793.862305,71.267333,3746.342446,146.307938,967840132,1419521176,45,0,7
999,536,0,200000.0051,428800000,0,0.005,0,0,0,0,0,0,8
7,114,0,125000.0003,57000000,0,0.008,0,0,0,0,0,0,6
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,2
999,3030,842,17.235407,18239.98438,4976.928711,105.689729,6004.576564,223.702328,637361862,2696051786,84,0,1
999,1098,0,250000.0006,1098000000,0,0.004,0,0,0,0,0,0,1
999,7810,15096,281.314131,70576.82031,136461.2656,7.253322,433.269956,430.096248,938195383,3089934509,120,0,0
999,200,0,142857.1409,114285712,0,0.007,0,0,0,0,0,0,2
999,200,0,166666.6608,133333328,0,0.006,0,0,0,0,0,0,2
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,4
999,2750,27602,6044.552964,1460472.625,14671013,0.335,0,18.796286,1400117349,1407132125,600,0,0
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,4
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,2
999,1040,0,38.794669,16138.58203,0,25.776736,29.430768,0,0,0,0,0,5
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,2
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,2
999,2230,14994,4059.778781,1019063.313,6861850,0.505727,35.988487,34.29178,3754582102,1609475061,417,0,0
999,2854,31360,3222.676508,773996.8125,8512579,0.634067,38.903154,38.133601,1660375722,1660664834,653,0,0
999,2036,268,58.093376,56792.08594,6940.222168,28.543222,1572.23046,62.944344,3720959153,1159013285,45,0,1
999,166,0,142857.1409,94857144,0,0.007,0,0,0,0,0,0,8
999,200,0,100000.0025,80000000,0,0.01,0,0,0,0,0,0,3
999,2974,33882,3660.92987,879528.9375,10025664,0.556085,32.400835,31.493741,4046364816,1906513984,678,0,0
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
7,264,0,100000.0025,105600000,0,0.01,0,0,0,0,0,0,0
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,2
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,1
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,1
999,168,0,125000.0003,84000000,0,0.008,0,0,0,0,0,0,7
999,632,268,68.23051,20705.68555,8151.271484,24.333778,1245.069513,64.729012,2154827428,2888983574,45,0,8
999,530,268,27.817804,7076.849121,3323.300293,59.913667,3394.08566,137.522297,810940773,2994671562,45,0,8
999,168,0,1000000.003,672000000,0,0.001,0,0,0,0,0,0,7
999,1028,854,21.840646,7845.992188,6398.269531,83.204089,5235.000353,136.092641,1146490275,759587215,85,0,1
2,624,268,45.38674,13603.91895,5422.202637,32.752667,1711.594506,91.211633,1673875050,2995581196,45,0,3
999,2750,27602,2973.307054,718404.4375,7216650.5,0.688721,44.747846,43.398119,4165764222,2036283603,600,0,0
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,1042,696,6.9933,2814.987305,1793.22937,4686.442656,489690.6958,17622.054,2841999482,1672501128,87,0,1
999,3030,844,10.959225,11597.99121,3172.956543,174.199455,9364.609304,314.430656,567835189,3450490034,84,0,1
999,854,268,43.106669,17679.48242,5149.810059,33.318556,1918.63822,90.103602,1258345788,222259774,45,0,3
999,200,0,100000.0025,80000000,0,0.01,0,0,0,0,0,0,3
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,4
5,3933,1820,40.816122,29905.27539,13769.96582,47.833572,2738.964116,87.829484,3562262905,2071156570,91,0,5
5,48379,1946,87.200939,430197.3438,16896.59766,16.648604,1492.165364,60.312297,3201494109,2527133720,81,0,5
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,3
2,1014,268,20.066675,9771.132812,2397.298828,79.787,4213.014605,226.18675,2189780615,2780114302,45,0,3
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,3
999,168,0,333333.3215,224000000,0,0.003,0,0,0,0,0,0,7
999,168,0,125000.0003,84000000,0,0.008,0,0,0,0,0,0,7
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,4
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,3
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
7,114,0,125000.0003,57000000,0,0.008,0,0,0,0,0,0,6
999,3030,834,14.540399,15387.89648,4159.938965,126.723724,6790.012765,217.645328,4129724843,3577711606,83,0,1
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,2
999,530,354,24.050671,5398.668457,3508.568359,77.248444,5250.752921,153.394703,654361127,2188219512,44,0,8
999,588,354,18.903739,4714.814941,2757.721924,99.795222,6532.717891,170.238797,1831672495,4119246357,44,0,1
999,1070,718,19.954985,8242.458984,5284.92041,84.555274,4391.884687,186.181797,4173011064,4135792897,90,0,1
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,5
999,1072,816,11.421759,4277.176758,3198.092529,167.145097,9346.430115,245.485391,3671702272,1664019449,82,0,1
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,1
999,104,0,111111.1072,46222220,0,0.009,0,0,0,0,0,0,4
999,200,0,111111.1072,88888888,0,0.009,0,0,0,0,0,0,1
2,744,944,83.446232,26310.10547,32436.04102,22.636,1167.644073,44.634609,2643107585,2581994053,118,75,4
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,3
999,564,354,15.445769,3692.447266,2253.265137,120.203889,7644.830257,222.764141,3730628009,1487551036,44,0,7
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,4
7,114,0,125000.0003,57000000,0,0.008,0,0,0,0,0,0,6
999,200,0,166666.6608,133333328,0,0.006,0,0,0,0,0,0,2
999,200,0,500000.0013,400000000,0,0.002,0,0,0,0,0,0,2
999,142,0,250000.0006,142000000,0,0.004,0,0,0,0,0,0,8
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,2
999,530,268,10.459041,2660.780029,1249.506714,151.243111,10042.8699,468.508156,1640845588,177111456,45,0,0
2,834,268,82.544572,33061.85156,9861.325195,18.782222,1005.517937,60.076078,1653251090,2292260277,45,0,7
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
5,61069,2188,21.103624,109130.6953,3841.313477,69.947637,6226.89807,232.959734,2951120842,1850817362,73,0,5
999,400,0,0.419782,335.825195,0,2382.19175,3368.9165,0,0,0,0,0,2
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,3
999,180,0,333333.3215,239999984,0,0.003,0,0,0,0,0,0,4
999,180,0,200000.0051,144000000,0,0.005,0,0,0,0,0,0,3
999,588,268,21.846909,6175.393066,2609.977539,76.176778,3833.37839,169.800625,1456665331,3658502928,45,0,1
999,588,354,26.509397,6611.755371,3867.253174,67.729556,4080.32957,132.115625,4010657067,2647021477,44,0,1
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,2
999,180,0,166666.6608,119999992,0,0.006,0,0,0,0,0,0,2
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,2
999,904,728,21.720796,5081.167969,4050.553955,88.999398,4674.244929,168.342156,728410861,2602928209,52,0,1
5,11478,1680,55.922711,109727.8125,15867.1377,32.187281,1758.768641,48.939242,728439882,731044800,84,0,5
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,1
999,392,0,90909.0902,142545456,0,0.011,0,0,0,0,0,0,8
7,114,0,166666.6608,76000000,0,0.006,0,0,0,0,0,0,6
7,114,0,166666.6608,76000000,0,0.006,0,0,0,0,0,0,6
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,200,0,100000.0025,80000000,0,0.01,0,0,0,0,0,0,3
999,1920,4312,5457.191415,1778316.75,4009701.75,0.375952,22.816137,21.129439,929036662,3074723288,180,0,0
999,180,0,250000.0006,180000000,0,0.004,0,0,0,0,0,0,3
999,10880,0,5.333085,11604.79199,0,187.50875,215.203906,0,0,0,0,0,5
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,4
999,1104,28632,74.965176,11438.32324,303535.375,38.614421,2155.260646,1706.274148,3852698241,1095400378,795,0,5
999,780,354,15.698109,5185.916504,2290.077148,116.339333,6757.0506,231.635437,43807437,2771124711,44,0,8
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,3
7,114,0,100000.0025,45600000,0,0.01,0,0,0,0,0,0,6
999,490,354,28.496524,5913.866699,4157.140137,59.506778,3910.774501,138.017891,2905179663,3808967293,44,0,8
5,25146,1724,101.140584,347043.5,23365.25,16.102058,1097.163515,31.633082,4236790854,3183178339,78,0,5
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,2
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,3
999,568,320,43.111148,20988.9707,11824.77246,38.002332,53.729273,64.107715,0,0,80,0,0
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,3
999,180,0,333333.3215,239999984,0,0.003,0,0,0,0,0,0,3
999,180,0,200000.0051,144000000,0,0.005,0,0,0,0,0,0,4
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
999,200,0,83333.33039,66666664,0,0.012,0,0,0,0,0,0,3
999,200,0,250000.0006,200000000,0,0.004,0,0,0,0,0,0,2
999,3022,0,86956.51981,700869568,0,0.018,0,0,0,0,0,0,1
999,200,0,100000.0025,80000000,0,0.01,0,0,0,0,0,0,3
999,360,0,2.977215,2143.594971,0,335.884344,474.999437,0,0,0,0,0,5
999,156,0,200000.0051,124800000,0,0.005,0,0,0,0,0,0,8
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,2
2,1342,268,85.311616,54963.42969,10191.89453,18.855,1001.652735,60.00477,884900945,196199450,45,0,4
