,dst_host_count,flag_S3,dst_host_srv_count,hot,same_srv_rate,Protocol_type_tcp,dst_host_same_src_port_rate,dst_host_rerror_rate,count,dst_host_serror_rate,srv_count,Protocol_type_icmp,label
42,1,0,1,0,1,1,0,0,0.015655577,0,0.017612524,0,0
43,1,0,0.996078431,0,1,0,0,0,0.489236791,0,0.499021526,0,0
44,0.117647059,0,1,0,1,1,0.03,0,0.001956947,0,0.009784736,0,0
45,0.776470588,0,1,0,1,1,0.01,0,0.02739726,0,0.048923679,0,0
46,0.776470588,0,1,0,1,1,0.01,0,0.011741683,0,0.019569472,0,0
47,0.423529412,0,0.349019608,0,1,1,0.01,0,0.001956947,0,0.003913894,0,0
48,0.239215686,0,0.541176471,0,1,1,0.02,0,0.001956947,0,0.003913894,0,0
49,0.22745098,0,0.207843137,0,1,0,0.02,0,0.001956947,0,0.001956947,0,0
50,0.098039216,0,1,0,1,1,0.04,0,0.007827789,0,0.007827789,0,0
51,0.48627451,0,0.015686275,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
52,0.68627451,0,0.37254902,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
53,0.274509804,0,0.537254902,0,1,1,0.01,0,0.001956947,0,0.003913894,0,0
54,0.756862745,0,0.756862745,0,1,0,1,0,0.377690802,0,0.377690802,0,0
55,0.141176471,0,1,0,1,1,0.03,0,0.003913894,0,0.017612524,0,0
56,1,0,0.917647059,0,1,0,0,0.02,0.001956947,0,0.001956947,0,0
57,0.615686275,0,0.525490196,0,1,1,0.01,0.85,0.001956947,0,0.001956947,0,0
58,0.678431373,0,0.254901961,0,1,1,0.31,0,0.019569472,0.02,0.019569472,0,0
59,1,0,1,0,1,1,0,0,0.066536204,0,0.066536204,0,0
60,0.003921569,0,0.015686275,0,1,1,1,0,0.001956947,0,0.001956947,0,0
61,0.905882353,0,1,0,1,1,0,0,0.017612524,0,0.017612524,0,0
62,1,0,0.941176471,0,1,0,0,0,0.146771037,0,0.305283757,0,0
63,1,0,0.847058824,0,1,0,0,0,0.142857143,0,0.301369863,0,0
64,0.925490196,0,0.596078431,0,1,1,0,0,0.001956947,0,0.003913894,0,0
65,1,0,0.101960784,0,1,0,0.1,0,0.001956947,0,0.007827789,0,0
66,1,0,0.968627451,0,0.99,0,0,0,0.15851272,0,0.315068493,0,0
67,1,0,1,0,1,1,0,0,0.072407045,0,0.072407045,0,0
68,0.02745098,0,0.603921569,0,1,1,0.14,1,0.001956947,0,0.001956947,0,0
69,0.262745098,0,0.588235294,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
70,1,0,0.094117647,0,0.5,0,0.11,0,0.003913894,0,0.001956947,1,0
71,0.02745098,0,1,0,1,1,0.14,0,0.01369863,0,0.039138943,0,0
72,0.137254902,0,0.368627451,0,1,1,0.03,0,0.02739726,0,0.02739726,0,0
73,0.039215686,0,1,0,1,1,0.1,0,0.005870841,0,0.015655577,0,0
74,1,0,0.007843137,0,1,0,0.98,0,0.001956947,0,0.001956947,0,0
75,0.015686275,0,1,0,1,1,0.25,0,0.003913894,0,0.076320939,0,0
76,1,0,0.035294118,0,0.5,0,0.04,0,0.003913894,0,0.001956947,1,0
77,0.490196078,0,1,0,1,1,0.01,0.01,0.019569472,0,0.062622309,0,0
78,0.862745098,0,0.607843137,0,1,1,0,0,0.001956947,0,0.001956947,0,0
79,1,0,0.11372549,0,0.89,0,0.12,0,0.017612524,0,0.015655577,1,0
80,0.392156863,0,0.105882353,0.285714286,1,1,0.01,0.01,0.001956947,0,0.001956947,0,0
81,0.545098039,0,0.443137255,0,1,1,0.01,0.81,0.001956947,0,0.003913894,0,0
82,1,0,1,0,1,1,0,0,0.037181996,0,0.037181996,0,0
83,0.129411765,0,0.466666667,0,1,1,0.03,0.91,0.031311155,0,0.031311155,0,0
84,0.890196078,0,1,0,1,1,0,0,0.023483366,0,0.023483366,0,0
85,0.035294118,0,1,0,1,1,0.11,0,0.001956947,0,0.003913894,0,0
86,1,0,1,0,1,1,0,0,0.039138943,0,0.039138943,0,0
87,0.337254902,0,0.254901961,0,1,1,0.27,0,0.001956947,0,0.001956947,0,0
88,0.023529412,0,1,0,1,1,0.17,0,0.005870841,0,0.005870841,0,0
89,0.419607843,0,0.047058824,0,1,1,0.11,0.04,0.001956947,0,0.001956947,0,0
90,1,0,1,0,1,1,0.01,0,0.023483366,0,0.023483366,0,0
91,1,0,1,0,1,0,0,0,0.125244618,0,0.281800391,0,0
92,1,0,0.007843137,0,1,1,0,0,0.003913894,0,0.003913894,0,0
93,1,0,1,0,1,1,0,0,0.011741683,0,0.011741683,0,0
94,0.498039216,0,0.152941176,0.038961039,1,1,0.01,0,0.001956947,0,0.001956947,0,0
95,0.282352941,0,0.270588235,0,0.33,0,0.01,0,0.011741683,0,0.021526419,0,0
96,0.88627451,0,0.341176471,0,1,1,0.37,0,0.001956947,0.01,0.001956947,0,0
97,0.658823529,0,0.862745098,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
98,1,0,0.996078431,0,1,0,0,0,0.154598826,0,0.311154599,0,0
99,0.054901961,0,1,0,1,1,0.07,0,0.02739726,0,0.02739726,0,0
100,1,0,0.882352941,0,1,0,0,0,0.297455969,0,0.297455969,0,0
101,1,0,1,0,1,1,0,0,0.025440313,0,0.033268102,0,0
102,0.003921569,0,0.035294118,0,1,1,1,0,0.001956947,0,0.001956947,0,0
103,1,0,0.909803922,0,1,0,0,0,0.412915851,0,0.412915851,0,0
104,0.690196078,0,1,0,1,1,0.01,0.06,0.017612524,0,0.019569472,0,0
105,1,0,0.929411765,0,0.75,0,0.01,0,0.015655577,0,0.056751468,0,0
106,0.062745098,0,0.337254902,0,1,1,0.81,0,0.01369863,0,0.01369863,0,0
107,0.2,0,1,0,1,1,0.02,0,0.029354207,0,0.035225049,0,0
108,0.223529412,0,0.047058824,0.285714286,1,1,0.02,0,0.001956947,0,0.001956947,0,0
109,0.439215686,0,0.796078431,0,1,0,0.79,0.09,0.02739726,0,0.029354207,0,0
110,0.003921569,0,1,0.025974026,1,1,1,0,0.001956947,0,0.01369863,0,0
111,0.207843137,0,0.011764706,0,1,1,0.02,0,0.001956947,0,0.001956947,0,0
112,0.294117647,0,1,0,1,1,0.01,0,0.007827789,0,0.007827789,0,0
113,0.019607843,0,1,0,1,1,0.2,0,0.009784736,0,0.048923679,0,0
114,1,0,1,0,1,1,0,0,0.023483366,0,0.025440313,0,0
115,0.094117647,0,1,0,1,1,0.04,0,0.003913894,0,0.003913894,0,0
116,1,0,1,0,1,1,0,0,0.005870841,0,0.048923679,0,0
117,1,0,1,0,1,1,0,0,0.029354207,0,0.029354207,0,0
118,0.082352941,0,1,0,1,1,0.05,0.43,0.001956947,0,0.003913894,0,0
119,0.57254902,0,0.160784314,0,1,1,0.28,0.01,0.01369863,0,0.01369863,0,0
120,0.223529412,0,1,0,1,1,0.02,0,0.029354207,0,0.031311155,0,0
121,0.023529412,0,1,0,1,1,0.17,0,0.011741683,0,0.048923679,0,0
122,0.023529412,0,0.984313725,0,1,1,0.17,1,0.001956947,0,0.001956947,0,0
123,1,0,0.996078431,0,1,0,0,0,0.318982387,0,0.318982387,0,0
124,1,0,0.011764706,0.012987013,1,1,0,0,0.001956947,0.93,0.001956947,0,0
125,0.17254902,0,0.101960784,0.051948052,1,1,0.02,0,0.001956947,0,0.001956947,0,0
126,1,0,0.878431373,0,1,0,0,0,0.238747554,0,0.244618395,0,0
127,0.078431373,0,1,0,1,1,0.05,0,0.039138943,0,0.039138943,0,0
128,0.788235294,0,1,0,1,1,0,0.01,0.017612524,0,0.019569472,0,0
129,0.815686275,0,0.815686275,0,1,0,1,0,0.40704501,0,0.40704501,0,0
130,0.098039216,0,0.266666667,0,1,1,0.04,0,0.001956947,0,0.001956947,0,0
131,1,0,0.831372549,0,1,0,0.01,0,0.003913894,0,0.003913894,0,0
132,1,0,1,0,1,1,0,0,0.025440313,0,0.025440313,0,0
133,1,0,1,0,1,1,0,0,0.003913894,0,0.003913894,0,0
134,1,0,1,0,1,1,0,0,0.035225049,0,0.035225049,0,0
135,0.145098039,0,1,0,1,1,0.03,0,0.003913894,0,0.003913894,0,0
136,0.650980392,0,1,0,1,1,0.01,0,0.005870841,0.01,0.005870841,0,0
137,0.341176471,0,0.196078431,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
138,0.345098039,0,0.341176471,0,1,0,0.01,0,0.001956947,0,0.001956947,0,0
139,1,0,1,0,1,0,0.01,0,0.164383562,0,0.283757339,0,0
140,0.164705882,0,1,0,1,1,0.02,0,0.003913894,0,0.017612524,0,0
141,1,0,1,0,1,1,0,0,0.023483366,0,0.111545988,0,0
142,0.003921569,0,1,0,1,1,1,0,0.001956947,0,0.001956947,0,0
143,1,0,0.003921569,0,1,0,0.9,0,0.001956947,0,0.001956947,0,0
144,0.341176471,0,0.211764706,0,0.99,0,0.01,0,0.387475538,0,0.385518591,0,0
145,0.098039216,0,1,0,1,1,0.04,0,0.001956947,0,0.009784736,0,0
146,1,0,0.941176471,0,1,0,0.01,0,0.003913894,0,0.003913894,0,0
147,0.360784314,0,0.062745098,0,1,1,0.17,0,0.009784736,0,0.009784736,0,0
148,1,0,1,0,1,0,0,0,0.221135029,0,0.377690802,0,0
149,0.505882353,0,0.407843137,0,1,1,0.32,0,0.003913894,0,0.003913894,0,0
150,0.654901961,0,0.196078431,0.38961039,1,1,0.01,0,0.001956947,0,0.001956947,0,0
151,0.270588235,0,0.207843137,0,1,1,0.01,0,0.001956947,0,0.003913894,0,0
152,1,0,0.929411765,0,1,0,0,0,0.146771037,0,0.299412916,0,0
153,0.262745098,0,1,0,1,1,0.01,0,0.023483366,0,0.060665362,0,0
154,1,0,1,0,1,1,0,0,0.090019569,0,0.093933464,0,0
155,1,0,1,0,1,1,0,0,0.04109589,0,0.043052838,0,0
156,0.22745098,0,1,0,1,1,0.02,0,0.04109589,0.02,0.043052838,0,0
157,0.019607843,0,1,0,1,1,0.2,0,0.009784736,0,0.009784736,0,0
158,1,0,0.003921569,0,0.5,1,0,0,0.003913894,0,0.001956947,0,0
159,0.062745098,0,1,0,1,1,0.06,0,0.003913894,0,0.003913894,0,0
160,0.015686275,0,1,0,1,1,0.25,0,0.001956947,0,0.001956947,0,0
161,0.058823529,0,0.235294118,0,1,1,0.07,1,0.001956947,0,0.001956947,0,0
162,1,0,1,0,1,1,0,0,0.01369863,0,0.023483366,0,0
163,0.423529412,0,0.003921569,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
164,1,0,1,0,1,1,0,0,0.001956947,0,0.001956947,0,0
165,0.098039216,0,0.376470588,0,1,1,0.04,0,0.01369863,0,0.015655577,0,0
166,0.070588235,0,1,0,1,1,0.06,0,0.003913894,0,0.021526419,0,0
167,0.023529412,0,0.019607843,0,1,0,0.17,0,0.003913894,0,0.007827789,0,0
168,0.019607843,0,1,0,1,1,0.2,0,0.009784736,0,0.009784736,0,0
169,0.266666667,0,1,0,1,1,0.01,0,0.009784736,0.01,0.009784736,0,0
170,1,0,1,0,1,0,0,0,0.142857143,0,0.299412916,0,0
171,0.247058824,0,0.509803922,0,1,1,0.02,0,0.003913894,0,0.003913894,0,0
172,0.976470588,0,1,0,1,1,0,0,0.005870841,0,0.005870841,0,0
173,0.294117647,0,0.380392157,0,1,1,0.17,0,0.005870841,0,0.005870841,0,0
174,0.333333333,0,0.317647059,0,1,0,0.11,0,0.003913894,0,0.007827789,0,0
175,1,0,0.007843137,0,1,0,0.99,0,0.003913894,0,0.003913894,0,0
176,1,0,1,0,1,0,1,0,0.933463796,0,0.933463796,0,0
177,1,0,0.062745098,0,0.14,0,0.06,0,0.01369863,0,0.001956947,1,0
178,1,0,1,0,1,1,0,0,0.005870841,0,0.005870841,0,0
179,0.278431373,0,1,0,1,1,0.01,0,0.019569472,0,0.021526419,0,0
180,0.152941176,0,1,0,1,1,0.03,0,0.01369863,0,0.015655577,0,0
181,1,0,1,0,1,1,0.01,0,0.056751468,0,0.056751468,0,0
182,0.023529412,0,0.984313725,0,1,1,0.17,1,0.001956947,0,0.001956947,0,0
183,0.090196078,0,0.984313725,0,1,1,0.04,1,0.001956947,0,0.001956947,0,0
184,1,0,1,0,1,1,0,0,0.017612524,0,0.017612524,0,0
185,0.898039216,0,0.705882353,0,1,0,0,0,0.023483366,0,0.109589041,0,0
186,0.007843137,0,1,0,1,1,1,0,0.003913894,0.5,0.009784736,0,0
187,0.592156863,0,0.439215686,0,1,0,0.01,0,0.442270059,0,0.59295499,0,0
188,1,0,1,0,1,0,0,0,0.348336595,0,0.348336595,0,0
189,1,0,1,0,1,1,0.01,0,0.023483366,0,0.023483366,0,0
190,0.478431373,0,0.592156863,0,1,1,0.01,0,0.001956947,0,0.007827789,0,0
191,1,0,0.941176471,0,1,0,0,0,0.203522505,0,0.207436399,0,0
192,1,0,0.996078431,0,1,0,0,0,0.242661448,0,0.242661448,0,0
193,1,0,0.996078431,0,1,0,0,0,0.242661448,0,0.242661448,0,0
194,1,0,1,0,1,1,0,0,0.050880626,0,0.050880626,0,0
195,0.196078431,0,1,0,1,1,0.02,0,0.023483366,0,0.035225049,0,0
196,0.505882353,0,0.003921569,0,1,1,0.01,0,0.001956947,0.02,0.001956947,0,0
197,0.054901961,0,1,0,1,1,0.07,0,0.001956947,0,0.060665362,0,0
198,0.556862745,0,0.6,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
199,0.003921569,0,1,0,1,1,1,0,0.001956947,0,0.001956947,0,0
200,1,0,1,0,1,1,0,0,0.015655577,0,0.015655577,0,0
201,0.007843137,0,1,0,1,1,0.5,0,0.003913894,0,0.04109589,0,0
202,0.031372549,0,1,0,1,1,0.12,1,0.001956947,0,0.001956947,0,0
203,0.258823529,0,0.011764706,0,1,1,0.02,0,0.001956947,0,0.001956947,0,0
204,1,0,0.690196078,0,1,0,0,0,0.234833659,0,0.234833659,0,0
205,0.192156863,0,0.011764706,0,1,1,0.06,0,0.003913894,0,0.003913894,0,0
206,0.054901961,0,1,0,1,1,0.07,0,0.001956947,0,0.001956947,0,0
207,1,0,1,0,1,1,0,0,0.007827789,0,0.011741683,0,0
208,0.035294118,0,1,0,1,1,0.11,0,0.011741683,0,0.011741683,0,0
209,0.435294118,0,0.607843137,0,1,1,0.01,0,0.001956947,0,0.005870841,0,0
210,1,0,0.88627451,0,1,0,0,0,0.029354207,0,0.029354207,0,0
211,0.305882353,0,0.466666667,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
212,1,0,1,0,1,0,0,0,0.14481409,0,0.301369863,0,0
213,1,0,0.247058824,0,1,1,0.25,0.02,0.003913894,0.26,0.005870841,0,0
214,0.125490196,0,0.101960784,0,1,1,0.12,0,0.001956947,0,0.001956947,0,0
215,0.062745098,0,1,0,1,1,0.06,0,0.031311155,0,0.066536204,0,0
216,0.219607843,0,1,0,1,1,0.02,0,0.015655577,0.02,0.015655577,0,0
217,0.160784314,0,0.160784314,0,1,1,0.02,0,0.025440313,0,0.025440313,0,0
218,1,0,0.266666667,0,1,1,0,0.02,0.001956947,0.5,0.001956947,0,0
219,0.007843137,0,0.08627451,0,1,1,1,0,0.003913894,0,0.007827789,0,0
220,1,0,1,0,1,1,0,0,0.009784736,0,0.011741683,0,0
221,0.376470588,0,0.360784314,0,1,0,0.01,0,0.001956947,0,0.001956947,0,0
222,1,0,0.003921569,0,1,0,0.79,0,0.001956947,0,0.001956947,0,0
223,0.466666667,0,0.105882353,0.285714286,1,1,0.01,0.01,0.001956947,0.03,0.001956947,0,0
224,0.388235294,0,0.470588235,0,1,1,0.75,0,0.025440313,0,0.025440313,0,0
225,0.007843137,0,1,0,1,1,0.5,0,0.001956947,0,0.003913894,0,0
226,0.623529412,0,0.031372549,0,1,1,0.01,0,0.001956947,0.02,0.001956947,0,0
227,1,0,0.870588235,0,1,1,0,0,0.005870841,0,0.005870841,0,0
228,0.152941176,0,0.466666667,0,1,1,0.03,0.9,0.039138943,0,0.039138943,0,0
229,1,0,0.933333333,0,1,1,0,0,0.01369863,0,0.01369863,0,0
230,1,0,1,0,1,1,0,0,0.023483366,0,0.023483366,0,0
231,0.117647059,0,0.02745098,0.064935065,1,1,0.03,0,0.001956947,0,0.001956947,0,0
232,0.643137255,0,1,0,1,1,0.01,0,0.015655577,0,0.060665362,0,0
233,1,0,0.070588235,0,0.29,0,0.07,0,0.04109589,0,0.011741683,1,0
234,0.047058824,0,0.403921569,0,1,1,0.08,0,0.007827789,0,0.009784736,0,0
235,0.168627451,0,0.137254902,0,1,1,0.81,0,0.045009785,0,0.045009785,0,0
236,1,0,1,0,1,0,0.01,0,0.023483366,0,0.039138943,0,0
237,0.607843137,0,1,0,1,1,0.01,0,0.017612524,0,0.017612524,0,0
238,1,0,0.015686275,0,1,1,0,0,0.001956947,0.97,0.001956947,0,0
239,1,0,0.909803922,0,1,0,0,0,0.129158513,0,0.285714286,0,0
240,0.42745098,0,0.423529412,0,1,0,0.01,0,0.001956947,0,0.001956947,0,0
241,0.047058824,0,1,0,1,1,0.08,0,0.001956947,0,0.003913894,0,0
242,0.521568627,0,0.290196078,0,1,1,0.01,0,0.001956947,0.01,0.001956947,0,0
243,0.003921569,0,1,0,1,1,1,0,0.001956947,0,0.001956947,0,0
244,0.376470588,0,1,0,1,1,0.01,0,0.007827789,0,0.007827789,0,0
245,1,0,1,0,1,1,0,0,0.009784736,0,0.009784736,0,0
246,0.298039216,0,1,0,1,1,0.01,0,0.015655577,0,0.082191781,0,0
247,0.164705882,0,0.905882353,0,1,1,0.02,0,0.007827789,0,0.007827789,0,0
248,0.733333333,0,0.729411765,0,1,1,0.01,0,0.001956947,0,0.003913894,0,0
249,0.6,0,0.690196078,0,1,1,0.01,0,0.001956947,0,0.003913894,0,0
250,1,0,1,0,1,1,0,0,0.003913894,0,0.003913894,0,0
251,1,0,0.003921569,0,1,0,0.92,0,0.001956947,0,0.001956947,0,0
252,1,0,1,0,1,1,0,0,0.019569472,0,0.021526419,0,0
253,0.023529412,0,0.980392157,0,1,1,0.17,1,0.001956947,0,0.001956947,0,0
254,1,0,0.894117647,0,1,0,0,0,0.001956947,0,0.001956947,0,0
255,0.654901961,0,0.8,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
256,1,0,0.862745098,0,1,0,0.01,0,0.497064579,0,0.504892368,0,0
257,0.007843137,0,0.560784314,0,1,1,0.5,1,0.001956947,0,0.001956947,0,0
258,0.294117647,0,1,0,1,1,0.01,0,0.005870841,0.01,0.005870841,0,0
259,1,0,0.82745098,0,1,0,0,0,0.136986301,0,0.28962818,0,0
260,0.247058824,0,0.137254902,0,1,1,0.02,0,0.001956947,0,0.003913894,0,0
261,0.549019608,0,0.133333333,0,1,1,0.12,0,0.001956947,0.01,0.001956947,0,0
262,0.294117647,0,1,0,1,1,0.01,0,0.02739726,0,0.02739726,0,0
263,0.235294118,0,1,0,1,1,0.02,0,0.01369863,0,0.015655577,0,0
264,0.384313725,0,0.690196078,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
265,0.129411765,0,1,0,1,1,0.03,0,0.029354207,0,0.035225049,0,0
266,1,0,1,0,1,1,0,0,0.021526419,0,0.021526419,0,0
267,1,0,1,0,1,1,0,0,0.003913894,0,0.01369863,0,0
268,0.035294118,0,0.294117647,0,1,1,0.78,0,0.001956947,0,0.001956947,0,0
269,1,0,0.6,0,1,1,0,0,0.001956947,0,0.003913894,0,0
270,1,0,1,0,1,1,0,0,0.043052838,0,0.043052838,0,0
271,0.309803922,0,1,0,1,1,0.01,0,0.007827789,0,0.007827789,0,0
272,0.109803922,0,0.101960784,0,1,0,0.04,0,0.009784736,0,0.019569472,0,0
273,1,0,1,0,1,1,0,0,0.001956947,0,0.031311155,0,0
274,0.129411765,1,1,0,1,1,0.03,0,0.019569472,0.03,0.043052838,0,0
275,0.082352941,0,1,0,1,1,0.05,0,0.039138943,0,0.04109589,0,0
276,1,0,1,0,1,1,0,0,0.048923679,0,0.048923679,0,0
277,0.011764706,0,1,0,1,1,0.33,0,0.005870841,0,0.02739726,0,0
278,0.243137255,0,0.047058824,0,1,1,0.02,0,0.001956947,0,0.001956947,0,0
279,1,0,0.996078431,0,1,0,0,0,0.356164384,0,0.356164384,0,0
280,0.22745098,0,1,0,1,1,0.02,0,0.011741683,0,0.011741683,0,0
281,0.015686275,0,0.815686275,0,1,1,0.25,1,0.001956947,0,0.001956947,0,0
282,0.015686275,0,1,0,1,1,0.25,0,0.007827789,0,0.007827789,0,0
283,1,0,1,0,1,0,0,0,0.152641879,0,0.309197652,0,0
284,0.533333333,0,0.525490196,0,1,0,0.01,0,0.001956947,0,0.001956947,0,0
285,0.607843137,0,1,0,1,1,0.01,0,0.017612524,0,0.017612524,0,0
286,0.82745098,0,0.42745098,0,1,1,0,0,0.001956947,0,0.001956947,0,0
287,0.078431373,0,1,0,1,1,0.05,0,0.015655577,0,0.015655577,0,0
288,0.223529412,0,1,0,1,1,0.02,0,0.001956947,0,0.001956947,0,0
289,1,0,1,0,0.99,0,0,0,0.28962818,0,0.28962818,0,0
290,0.356862745,0,0.094117647,0,1,1,0.01,0.15,0.001956947,0,0.001956947,0,0
291,0.196078431,0,0.505882353,0,1,1,0.02,0,0.001956947,0.02,0.003913894,0,0
292,0.11372549,0,0.239215686,0,1,1,0.03,0,0.015655577,0,0.021526419,0,0
293,0.882352941,0,0.560784314,0,1,1,0,0,0.001956947,0,0.001956947,0,0
294,0.101960784,0,1,0,1,1,0.04,0,0.005870841,0,0.01369863,0,0
295,1,0,0.898039216,0,0.99,0,0,0,0.297455969,0,0.426614481,0,0
296,0.368627451,0,0.541176471,0,1,1,0.01,0,0.001956947,0,0.003913894,0,0
297,0.054901961,0,1,0,1,1,0.07,0,0.023483366,0,0.023483366,0,0
298,0.08627451,0,0.835294118,0,1,1,0.05,0,0.043052838,0,0.043052838,0,0
299,0.321568627,0,1,0,1,1,0.01,0.01,0.001956947,0,0.001956947,0,0
300,0.011764706,0,0.415686275,0,1,1,0.33,1,0.001956947,0,0.003913894,0,0
301,0.003921569,0,1,0,1,1,1,0,0.001956947,0,0.001956947,0,0
302,1,0,0.976470588,0,1,1,0,0,0.005870841,0,0.007827789,0,0
303,0.101960784,0,1,0,1,1,0.04,0,0.003913894,0,0.007827789,0,0
304,0.015686275,0,1,0,1,1,0.25,0,0.007827789,0,0.007827789,0,0
305,0.011764706,0,1,0,1,1,0.33,0,0.005870841,0,0.007827789,0,0
306,1,0,1,0,1,1,0,0,0.023483366,0,0.023483366,0,0
307,1,0,0.015686275,0,0.5,0,0.02,0,0.003913894,0,0.001956947,1,0
308,1,0,0.925490196,0,0.22,0,0.01,0,0.017612524,0,0.003913894,0,0
309,0.623529412,0,1,0,1,1,0.01,0,0.021526419,0,0.029354207,0,0
310,0.423529412,0,0.050980392,0,1,1,0.12,0.04,0.003913894,0,0.003913894,0,0
311,0.533333333,0,0.133333333,0,1,1,0.22,0,0.001956947,0,0.001956947,0,0
312,1,0,0.992156863,0,1,1,0,0.02,0.045009785,0,0.045009785,0,0
313,0.654901961,0,0.745098039,0,1,1,0.01,0,0.001956947,0,0.003913894,0,0
314,0.121568627,0,1,0,1,1,0.03,0,0.017612524,0,0.046966732,0,0
315,0.058823529,0,1,0,1,1,0.07,0,0.003913894,0,0.005870841,0,0
316,1,0,1,0,1,1,0,0,0.017612524,0,0.017612524,0,0
317,0.57254902,0,0.533333333,0,1,1,0.01,0.01,0.001956947,0,0.003913894,0,0
318,1,0,0.317647059,0,0.5,0,0.4,0,0.003913894,0,0.001956947,1,0
319,1,0,1,0,1,1,0,0,0.091976517,0,0.091976517,0,0
320,0.62745098,0,1,0,1,1,0.01,0,0.003913894,0,0.003913894,0,0
321,1,0,0.956862745,0,1,0,0,0,0.13111546,0,0.28962818,0,0
322,0.666666667,0,0.529411765,0,1,1,0.01,0.02,0.001956947,0,0.001956947,0,0
323,1,0,1,0,1,1,0,0,0.015655577,0,0.015655577,0,0
